time_s,phase_deg
0.000000000000000000e+00,1.276151950760506907e+03
1.000000000000000056e-01,1.323859658536400730e+03
2.000000000000000111e-01,1.366672697620543886e+03
2.999999999999999889e-01,1.403933006630986256e+03
4.000000000000000222e-01,1.435969672821601080e+03
5.000000000000000000e-01,1.462486439076341412e+03
5.999999999999999778e-01,1.483087125903938613e+03
6.999999999999999556e-01,1.498701563699243252e+03
8.000000000000000444e-01,1.509957370517059871e+03
9.000000000000000222e-01,1.516751181189416911e+03
1.000000000000000000e+00,1.519621586478512882e+03
1.100000000000000089e+00,1.518672309971861523e+03
1.199999999999999956e+00,1.515066324675167380e+03
1.300000000000000044e+00,1.508664121179856238e+03
1.399999999999999911e+00,1.500007458075646809e+03
1.500000000000000000e+00,1.489832839213722309e+03
1.600000000000000089e+00,1.478609886189298322e+03
1.699999999999999956e+00,1.466434669688399481e+03
1.800000000000000044e+00,1.454602388507698606e+03
1.899999999999999911e+00,1.443539522866289417e+03
2.000000000000000000e+00,1.433671203410980752e+03
2.100000000000000089e+00,1.425481946982362160e+03
2.200000000000000178e+00,1.419779003479852236e+03
2.299999999999999822e+00,1.417443806917580559e+03
2.399999999999999911e+00,1.419080654505012490e+03
2.500000000000000000e+00,1.424999611509759461e+03
2.600000000000000089e+00,1.435759085501534173e+03
2.700000000000000178e+00,1.451622624123962851e+03
2.799999999999999822e+00,1.473875117594006724e+03
2.899999999999999911e+00,1.502600143880196129e+03
3.000000000000000000e+00,1.538582807775272613e+03
3.100000000000000089e+00,1.581991875027585820e+03
3.200000000000000178e+00,1.633443068322982981e+03
3.299999999999999822e+00,1.693523263947871556e+03
3.399999999999999911e+00,1.762507621785409356e+03
3.500000000000000000e+00,1.840639980801477122e+03
3.600000000000000089e+00,1.928312060947805321e+03
3.700000000000000178e+00,2.025961237931584037e+03
3.799999999999999822e+00,2.133953383785383267e+03
3.899999999999999911e+00,2.252335824750343818e+03
4.000000000000000000e+00,2.381447641664103230e+03
4.099999999999999645e+00,2.521474683628315233e+03
4.200000000000000178e+00,2.672739752430926274e+03
4.299999999999999822e+00,2.835346657957937168e+03
4.400000000000000355e+00,3.009219007755501025e+03
4.500000000000000000e+00,2.834518417931001750e+03
4.599999999999999645e+00,2.671915133426869033e+03
4.700000000000000178e+00,2.519994930680016751e+03
4.799999999999999822e+00,2.379415695920332837e+03
4.900000000000000355e+00,2.250120940102359782e+03
5.000000000000000000e+00,2.133366642941577084e+03
5.099999999999999645e+00,2.027355223485070837e+03
5.200000000000000178e+00,1.932080563540044295e+03
5.299999999999999822e+00,1.848054055122322097e+03
5.400000000000000355e+00,1.776187634582959618e+03
5.500000000000000000e+00,1.713997458406539863e+03
5.599999999999999645e+00,1.663175770582437963e+03
5.700000000000000178e+00,1.621835735635920855e+03
5.799999999999999822e+00,1.591735106952014803e+03
5.900000000000000355e+00,1.570275373766245139e+03
6.000000000000000000e+00,1.546661365654327710e+03
6.099999999999999645e+00,1.408379063076610919e+03
6.200000000000000178e+00,1.405644254539816075e+03
6.299999999999999822e+00,1.425377300612032286e+03
6.400000000000000355e+00,1.454944684567578634e+03
6.500000000000000000e+00,1.494809222027271744e+03
6.599999999999999645e+00,1.542183710095813467e+03
6.700000000000000178e+00,1.599902801269887277e+03
6.799999999999999822e+00,1.667439619692432416e+03
6.900000000000000355e+00,1.743127435969515318e+03
7.000000000000000000e+00,1.826242346836745128e+03
7.099999999999999645e+00,1.917905519426269166e+03
7.200000000000000178e+00,2.018067581154479285e+03
7.299999999999999822e+00,2.125278215347651894e+03
7.400000000000000355e+00,2.240586830448993169e+03
7.500000000000000000e+00,2.363550228821823112e+03
7.599999999999999645e+00,2.495060313141811093e+03
7.700000000000000178e+00,2.632795081883926287e+03
7.799999999999999822e+00,2.777816827301558988e+03
7.900000000000000355e+00,2.930866000379452089e+03
8.000000000000000000e+00,3.090012346837589575e+03
8.099999999999999645e+00,3.254699999380122335e+03
8.199999999999999289e+00,3.427395976402311135e+03
8.300000000000000711e+00,3.247716933136618536e+03
8.400000000000000355e+00,3.073200886027396336e+03
8.500000000000000000e+00,2.904811808417641714e+03
8.599999999999999645e+00,2.741998504529889033e+03
8.699999999999999289e+00,2.584220189620863039e+03
8.800000000000000711e+00,2.433820371854090354e+03
8.900000000000000355e+00,2.287912007478279065e+03
9.000000000000000000e+00,2.147798350489397308e+03
9.099999999999999645e+00,2.011153002572514197e+03
9.199999999999999289e+00,1.880087781257629331e+03
9.300000000000000711e+00,1.752342910314666824e+03
9.400000000000000355e+00,1.630527997964176848e+03
9.500000000000000000e+00,1.512590915290715884e+03
9.599999999999999645e+00,1.400851081770001201e+03
9.699999999999999289e+00,1.297896376462265607e+03
9.800000000000000711e+00,1.206076439649721578e+03
9.900000000000000355e+00,1.125544353524066082e+03
1.000000000000000000e+01,1.053303328225488940e+03
1.009999999999999964e+01,9.901286561455260653e+02
1.019999999999999929e+01,9.347248442672707824e+02
1.030000000000000071e+01,8.855740210624652491e+02
1.040000000000000036e+01,8.380933104753261205e+02
1.050000000000000000e+01,7.950244436282557672e+02
1.059999999999999964e+01,7.541824254773712255e+02
1.069999999999999929e+01,7.165683887778915278e+02
1.080000000000000071e+01,6.775085510233169543e+02
1.090000000000000036e+01,6.309404154700304161e+02
1.100000000000000000e+01,5.787734095924240592e+02
1.109999999999999964e+01,5.189698423197608008e+02
1.119999999999999929e+01,4.495198304101769509e+02
1.130000000000000071e+01,3.675989464314268389e+02
1.140000000000000036e+01,2.697419645949794358e+02
1.150000000000000000e+01,1.542786399787305527e+02
1.159999999999999964e+01,2.149512964184600605e+01
1.169999999999999929e+01,-1.320014554590379703e+02
1.180000000000000071e+01,-3.049218743253647972e+02
1.190000000000000036e+01,-1.410071772618359773e+02
1.200000000000000000e+01,-2.216244241022195638e+00
1.209999999999999964e+01,1.106431514318137488e+02
1.219999999999999929e+01,1.955480519142151934e+02
1.230000000000000071e+01,2.504281120040623136e+02
1.240000000000000036e+01,2.633399695550544948e+02
1.250000000000000000e+01,1.154946011623578670e+02
1.259999999999999964e+01,7.084844126440611944e+01
1.269999999999999929e+01,-4.124466424825641298e+00
1.280000000000000071e+01,-1.113480497281400403e+02
1.290000000000000036e+01,-2.521163037887531573e+02
1.300000000000000000e+01,-4.301376301185541706e+02
1.309999999999999964e+01,-2.898318049961108045e+02
1.319999999999999929e+01,-1.913342219037788254e+02
1.330000000000000071e+01,-1.372797892492724259e+02
1.340000000000000036e+01,-1.286324937071103705e+02
1.350000000000000000e+01,-1.652604709399479361e+02
1.359999999999999964e+01,-2.475076652000168451e+02
1.369999999999999929e+01,-3.768721878491912776e+02
